number,coformer1,coformer2
30,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,[C-2]=C(C#C/C(CCC(=O)O)=C(/C#CC(=[C-2])CCC(=O)O)CCC(=O)O)CCC(=O)O
31,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,O=C(O)c1ccc(C(=O)O)cc1
32,O=C(O)CCC(=O)O,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
33,C1#COC#COC#COC#COC#COC#CO1,O=C1C=Cc2ccccc2/C1=C/Nc1ccc2ccc3cccc4ccc1c2c34
34,COC(=O)C1(C(=O)OC)C[C@@H]2CC(=O)N[C@H](c3ccccc3)[C@H]2[C@@H]1c1ccccc1,NC(=O)c1ccncc1
35,C[C@@H]1Cc2cccc3c2[C@@](C)(C[C@]2(O3)O[C@H](C)Cc3cccc(O)c32)O1,O=C(O)c1cncc(C(=O)O)c1
36,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)/N=C(/[C@H](C)C(O)(C(F)(F)F)C(F)(F)F)[C@@H](C)C(O)(C(F)(F)F)C(F)(F)F
37,O=C(C(=O)N1CCCCC1)c1ccccc1,Cc1ccccc1C(=O)O
38,Fc1c(F)c(I)c(F)c(F)c1I,O=C(O)CCCCCCC(=O)O
39,COc1ccc(C(=O)/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,COc1cc(C(=O)O)cc(OC)c1O
40,C=CCOC(=O)C1=C(Nc2ccccc2)C[C@H](c2ccccc2)N(c2ccccc2)[C@H]1c1ccccc1,O=C(O)CCCCCC(=O)O
41,C1COCCOCCOCCOCCOCCO1,COc1ccc2sc3c4cc(OC)ccc4sc3c2c1
42,CC(C)(C)c1ccccc1N1C(=O)[C@H]2C[C@H](C(C)(C)C)[C@@]2(c2ccccc2)C1=O,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
43,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,C(=C/c1ccc(C(c2ccc(/C=C/c3ccncc3)cc2)(c2ccc(/C=C/c3ccncc3)cc2)c2ccc(/C=C/c3ccncc3)cc2)cc1)\c1ccncc1
44,O=C(O)c1cc(O)ccc1O,O=C(O)/C=C\C(=O)O
45,Nc1nc(-c2csc(N)n2)cs1,O=C(O)CCCCCCC(=O)O
46,O=C1O[C@H](O)C(Cl)=C1Cl,c1cc(/N=N/c2ccncc2)ccn1
47,CCOC(=O)[C@H]1CC(Br)=NN1c1ncccc1Cl,c1cc2c3ccsc3c3c4sccc4c4ccsc4c3c2s1
48,NC(=O)c1cccnc1,Cc1nc(C)c(C)nc1C
49,COc1ccc(C(=O)[C@@H]2C(=O)Nc3ccccc3C3=C2C(=O)c2ccccc2C3=O)cc1,CC(C)[Si](C#Cc1cccc2c1[C@H]1c3c4cccc3[C@@H]2[C@H]2c3cccc(c3[C@@H]1c1c(C#C[Si](C(C)C)(C(C)C)C(C)C)cccc12)C#Cc1cccc2cc3cccc(c3cc12)C#C4)(C(C)C)C(C)C
50,c1cc2c3c(cccc3c1)CC2,OO[C@H]1CCCO1
51,O=C(O)CCCC(=O)O,OC(c1ccccc1)(c1ccccc1)[C@@H]1OC2(CCC3(CC2)O[C@@H](C(O)(c2ccccc2)c2ccccc2)[C@H](C(O)(c2ccccc2)c2ccccc2)O3)O[C@H]1C(O)(c1ccccc1)c1ccccc1
52,CC(C)Cc1ccc([C@H](C)C(=O)N/N=C/c2ccc(Br)cc2)cc1,Oc1ccc(Cl)c(O)c1
53,N#Cc1ccc(O)cc1,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O
54,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CCc1ccc([C@H]2C(C#N)=C(N)O[C@]3(c4ccc(Cl)cc4)[C@H]2Sc2nc4ccccc4n23)cc1
55,COc1ccc([C@H](C2=C(O)CCCC2=O)c2c(O)n(C)c(=O)n(C)c2=O)cc1,Oc1cccc(O)c1
56,c1ccc2nc3ccccc3nc2c1,O=C1[C@@H](CCO)CN2CCN3CCCN4CCN1[C@H]2[C@H]34
57,CCCCOc1ccc2c(=C3SC=CS3)c3cc(OCCCC)ccc3c(=C3SC=CS3)c2c1,O=C(O)CCCCCCCCC(=O)O
58,Nn1cnnc1,Cc1ccccc1O
59,CC(=O)O[C@@H](C(=O)c1ccccc1)c1ccccc1,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
60,Nc1ccc(C(=O)O)c(O)c1,COc1ccc([C@@]23OCc4ccccc4C2=Cc2ccccc2O3)cc1
61,O=C(O)CCCCCCCC(=O)O,O=C(O)c1ccc(O)cc1
62,C[C@H]1C[C@]2(C[C@]3(C)C(Cl)(Cl)[C@]3(C)C[C@H]2c2ccccc2)C(=O)c2ccccc21,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
63,C1N2CN3CN1CN(C2)C3,Cc1cc(-c2cccnc2)nc(N)n1
64,COC(=O)n1c2c(c3ccccc31)CCN1C[C@H]3[C@H](CC(=O)[C@@H]4O[C@@H]43)C[C@H]21,O=C(O)C(F)(F)F
65,c1cc2ccc3cccc4ccc(c1)c2c34,c1ccc2/c(c1)=N\C(N1CCCCC1)=c1\cccc\c1=N\C=2N1CCCCC1
66,c1cc(-c2ccncc2)ccn1,C(=C/c1ccncc1)\c1ccncc1
67,C[C@H](c1ccccc1)N1C[C@@H]2[C@@H](c3ccccc3)CC(=O)C[C@@]23CC(=O)C[C@@H](c2ccccc2)[C@H]3C1,CC(C)[C@H](O)[C@H]1[C@@H](c2ccccc2)N1C(C)(C)C
68,CC(=O)NC(C)=O,Fc1c(F)c(I)c(F)c(I)c1F
69,c1ccc2c(c1)ccc1cnnn12,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
70,NC(=O)c1cnccn1,C=CCn1c(=C(C#N)C#N)c2ccccc2c1=C(C#N)C#N
71,N#CC1=C(N)Oc2nc3sc(-c4ccccc4)nn3c(=O)c2[C@H]1c1ccccc1,COC(=O)C1=C[C@@H]([C@H]2CCCCC(=O)O2)C(C(=O)OC)=NN1
72,CC[Si](CC)(CC)c1c2ccc(c1O)[C@H](C(=O)N(C(C)C)C(C)C)Cc1ccc(cc1)CC2,c1cc(-c2ccncc2)ccn1
73,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,C1N2CN3CN1CN(C2)C3
74,NC(=S)NNC(=O)c1nsnc1N,O=C(O)CCCCC(=O)O
75,O=C(O)[C@H](O)c1ccccc1,CN(C)C1=C(N(C)C)c2nc1nc1[nH]c(nc3nc(nc4[nH]c(n2)c(N(C)C)c4N(C)C)C(N(C)C)=C3N(C)C)c(N(C)C)c1N(C)C
76,COc1cc(OC)c2c(c1)[C@@H]1O[C@H]3O[C@H]4C[C@@]15CCCC[C@@]5(O4)[C@@H]23,OCCN1CCNCc2c3ccccc3c(c3ccccc23)CNCCN(CCO)CCNCc2c3ccccc3c(c3ccccc23)CNCC1
77,CCc1cc(C(N)=S)ccn1,COC1=CC(=O)C=C[C@@]12N(C)C(=O)CC21C=CC(=O)C=C1
78,O=C1C(c2ccccc2)=C(c2ccccc2)[C@@]2(SC(c3ccccc3)=C(c3ccccc3)C2=O)N1c1ccccc1,Cc1cc(O)cc(O)c1
79,C(=C/c1ccc(/C=C/c2ccncc2)c2nsnc12)\c1ccncc1,CC(=O)C1=C(C)OC[C@H]1c1ccccc1O
80,CC1=C(C)SC(=C2SC(C)=C(C)S2)S1,COc1cccc2c1[C@]1(NC2=O)Oc2cc(C)cc3ccc(O)c1c23
81,c1ccc(-c2ccnc(-c3ccccn3)c2)cc1,CCOC(=O)[C@]1(c2ccccc2)C(C(=O)c2ccc(Cl)cc2)=CN=C1c1ccccc1
82,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,Cc1ccc(NC2=C([C@@H]3C4=C(CC(C)(C)CC4=O)N(c4ccc(C)cc4)c4ccccc43)C(=O)CC(C)(C)C2)cc1
83,COC(=O)c1c(C)cc2c(c1O)[C@@H]1C[C@@](C)(Oc3cc(C)cc(O)c31)O2,O=C(O)CCCC(=O)O
84,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,O=C(O)CCCCCCC(=O)O
85,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C1COCCOCCOCCO1
86,O=C(CC(c1ccccc1)c1ccccc1)Nc1cccc(NC(=O)CC(c2ccccc2)c2ccccc2)n1,Oc1ccc2ccccc2c1
87,C[C@H]1/C(=N/OCc2ccccc2)C[C@H](c2ccccc2)N[C@@H]1c1ccccc1,Oc1ccc(O)cc1
88,C[C@H](C(=O)C(C)(C)c1ccccc1)c1ccccc1,O=C(O)c1cccc(F)c1F
89,O=C(O)CCC(=O)O,O=C(O)c1cc(F)c(F)c(F)c1
90,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl,O=C(O)c1cccc2cccc(C(=O)O)c12
91,O=C1CCCCCN2C(=O)[C@@]3(SCCCS[C@H]13)c1ccccc12,C1CC[C@H]2OCCOCCO[C@@H]3CCCC[C@@H]3OCCOCCO[C@H]2C1
92,Cc1nc(C)c(C)nc1C,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41
93,S1SSSSSSS1,COC(=O)N1N=C(C)C[C@@]1(O)C(F)(F)F
94,Cc1cccc(C(=O)O)c1,O=C1CCCCCN2C(=O)[C@@]3(SCCCS[C@H]13)c1ccccc12
95,C[C@](O)(C(=O)O)[C@@](C)(O)C(=O)O,COC(=O)[C@]12C(=O)CCC[C@H]1CC(=O)[C@@]1(C)[C@@H]2CC[C@@]2(C)CC(=O)C[C@H]21
96,COc1ccc([C@]2(C)CC[C@H](O)[C@]2(C)CO)cc1C,C=CC[C@@](C#N)(c1ccccc1)[C@H]1CCCc2ccccc21
97,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl,Cc1cccc(C(=O)O)c1
98,Cc1ccc(-c2nc(N)nc(N)n2)cc1,C(C#Cc1ccccc1)#Cc1ccccc1
99,Nc1ccccc1C(=O)O,O=C1C=C(O)C[C@H]1Cc1ccc(Br)cc1
100,Cc1nn(-c2ccccc2)c2c1[C@@H](c1ccc(Br)cc1)CC(=O)N2,COc1cccc(/C=C\[C@@]2(O)[C@]3(Br)CCC[C@@]2(COC(C)=O)CN(C)C3)c1OC(C)=O
101,O=C1CCC(=O)N1,CCOP(=O)(OCC)[C@@]12C(=O)c3ccccc3N1C(=O)C(Cl)=C2Cl
102,O=C(O)CCC(=O)O,O=C(O)CCCCC(=O)O
103,C[C@]1(C(=O)O)C=C(O)C(=O)O1,O=C(O)CCCC(=O)O
104,Cc1cccc(C)c1/N=C1\c2cccc3cccc(c23)[C@]1(C)O,Nc1nc(N)c(Cl)cc1Cl
105,C[Si](C)(C)[C@H](CC(=O)Nc1cccc2cccnc12)c1ccccc1,C[C@H](c1cc(C(C)(C)C)cc(C(C)(C)C)c1O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OS(=O)(=O)C[C@]12CC[C@H](CC1=O)C2(C)C
106,COc1cc(/C=N/NC(=O)CSc2nc3ccccc3c(=O)n2-c2ccccc2C)cc(OC)c1OC,CN1c2ccccc2C(=O)N(CCCl)[P@@]1(=O)O[C@H](c1ccccc1)C(F)(F)F
107,C/C=C(/Cc1ccccc1)[C@H](c1ccccc1)[C@@H]1NS(=O)(=O)Oc2cc3c(cc21)OCO3,Fc1c(F)c(I)c(F)c(F)c1I
108,NC(=O)c1ccccc1,c1cc(CCc2ccncc2)ccn1
109,CCOC(=O)c1cc2ccccc2oc1=O,Cc1ccc(C2=C[C@@H]3[C@H]4CCN3[C@H](C4)C2=O)cc1
110,O=C(O)/C=C/C(=O)O,COc1c(Br)c([Si](C)(C)C)c(OC)c(Br)c1[Si](C)(C)C
111,CCOC(=O)[C@@]12C[C@]1(I)[C@H](c1ccccc1)O[C@@]2(C)O,N=C(N)N
112,CCC1(CC)C(=O)NC(=O)NC1=O,CC1(C)CC(=O)C2=C(C1)OC(Nc1ccccc1)=C(C(=O)c1ccccc1)[C@H]2c1ccccc1Cl
113,COc1ccc([C@H]2C[C@@H]3c4ccccc4N(S(C)(=O)=O)[C@@H]3O2)cc1,NC(=O)CN(Cc1ccc(CN(CC(N)=O)Cc2ccccn2)cc1)Cc1ccccn1
114,COc1cc2c(cc1OC)-c1cc(OC)c(OC)cc1-2,O=C(O)c1cccc(C(=O)O)c1
115,CN1CCCC[C@@H]1Cn1cc(C(=O)c2ccc(I)c3ccccc23)c2ccccc21,c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1
116,CSc1cc(SC)c(SC)cc1SC,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
117,CCOC(=O)c1cn[nH]c1N/N=C1/C(C)=NN(C(=O)c2ccncc2)[C@@]1(O)C(F)(F)F,C[C@@]1(O)C(=O)O[C@]2(CC3(CCCC3)CO2)[C@@H]1O
118,CC(C)N(C(=O)[C@]1(C)[C@@H](Br)[C@@H]1c1ccc(Cl)cc1)C(C)C,C1N2CN3CN1CN(C2)C3
119,N#CC[C@@]1(C#N)C(c2ccccc2)=C(c2ccccc2)O[C@@H]1CC(=O)N1CCOCC1,O=C(O)CCCC(=O)O
120,Cc1ccc(S(=O)(=O)N(C)[C@H]2C(=O)[C@@H]3CCCC[C@@H]32)cc1,COc1ccc(CO/N=C(\C)[C@](C#N)(c2ccccc2)[C@](C#N)(/C(C)=N/OCc2ccc(OC)c(OC)c2)c2ccccc2)cc1OC
121,Oc1cc2ccccc2cc1O,NC(N)=O
122,C(=C/c1ccncc1)\c1ccncc1,c1cc(-c2ccncc2)ccn1
123,O[C@@H]1CCC[C@@H]2Oc3ccccc3[C@@H](O)[C@@]21O,COC(=O)[C@]12CN([C@H](C)c3ccccn3)C[C@](C(=O)OC)(C1=O)[C@H]1CCCN1[C@H]2c1ccccn1
124,Clc1nc(Cl)nc(Cl)n1,O[C@@H]1CC[C@H](I)[C@H]2CC/C=C\C[C@@H](I)[C@H]1O2
125,N#CC1(C#N)CCCC[C@H]1C(c1ccccc1)c1ccccc1,c1cnccn1
126,Cc1nc2ccc(C(=O)c3ccccc3)cc2nc1C,O=C1c2ccccc2[C@@]2(O)Oc3c(c4nc5ccccc5nc4c4ccccc34)[C@@]12O
127,C(#Cc1ccncc1)c1ccncc1,CCOc1cccc2c1OC[C@H]1COc3c(c(=O)n(C)c(=O)n3C)[C@@H]21
128,Fc1c(I)c(F)c(I)c(F)c1I,Cc1ccc(S(=O)(=O)N[C@@H]2[C@H](O)CCC[C@H]2F)cc1
129,O=C(O)c1cc(O)ccc1O,Fc1c(F)c(I)c(F)c(F)c1I
130,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)Cc1cccc(Cl)c1
131,C1=CSC(=C2SC=CS2)S1,CC(C)[C@H](C[C@@H](O)C(C)(C)C)c1ccccc1
132,Cc1ccc(-n2c(-c3cccnc3)cc3c2cc(-c2cccnc2)n3-c2ccc(C)cc2)cc1,O=c1[nH]cc(I)c(=O)[nH]1
133,O=C1c2ccccc2[C@H](O)N1CO,NC(=O)C1c2ccccc2CCc2ccccc21
134,O=C(O)c1ccc(C(=O)O)cc1,Oc1cccc(O)c1O
135,Oc1cc(Cl)cc(Cl)c1O,O=C1C[C@H](OC(=O)c2ccccc2)N1
136,Fc1c(F)c(F)c(I)c(F)c1F,O=C(O)CCCCC(=O)O
137,CCOC(=O)/C=C1\C(O)=C(C(=O)c2ccc(OC)cc2)[C@]2(c3ccc(OC)cc3)Nc3cccc4cccc(c34)N12,OCC1=C(CO)SC(=C2SC(CO)=C(CO)S2)S1
138,Cc1ccc(S(=O)(=O)n2c3c(c4ccccc42)[C@@]2(C)CC[C@H](Br)C(C)(C)[C@@H]2C3)cc1,O=C(O)/C=C/C(=O)O
139,CC(C)c1cccc(C(C)C)c1/N=C1\CCC[C@H]1P(c1ccccc1)c1ccccc1,Fc1c(F)c(I)c(F)c(F)c1I
140,COP(=O)(OC)[C@H](C)[C@@H](O)c1ccccc1,C(=C/c1ccncc1)\c1ccncc1
141,Cc1ccn(C)c(=O)c1,c1ccc2nc3ccccc3nc2c1
142,c1ccc2c(c1)ccc1ccccc12,O=C(O)/C=C/C=C/C(=O)O
143,CCCC[C@H]1OC(=O)c2ccc3ccccc3c2O1,Fc1c(F)c(I)c(F)c(I)c1F
144,O=C1c2ccccc2[C@@H]2[C@@H](O)c3ccccc3CCN12,O=C(O)[C@@H](O)[C@H](O)C(=O)O
145,Cn1c(=O)c2c(ncn2C)n(C)c1=O,N#C/C=C(\Cl)c1ccc(Br)cc1
146,Cc1ccc(S(N)(=O)=O)cc1,Nc1nc(-c2csc(N)n2)cs1
147,CC(N)=O,CC=C=C(c1ccccc1)[C@](F)(C(=O)N(CC)CC)C(F)(F)F
148,CC/C=C\[C@@H](C(=O)OCC)[C@H]1NS(=O)(=O)Oc2ccc(C)cc21,COC(=O)C1=C(O)C[C@H]2CCN3C(=O)CO[C@]123
149,COc1c2c(cc3c1C(=O)C=C(Cl)C3=O)C[C@@H](C)OC2=O,C(=C=c1c(-c2ccccc2)cc2cccc3cccc1c32)=c1c(-c2ccccc2)cc2cccc3cccc1c32
150,C[C@H](O)c1ccccc1,NC(=O)c1cnccn1
151,Br[C@@H]1C[C@@H]2C=C[C@@]1(Br)[C@H]1CC=C[C@@H]21,C[C@@H]1OCCC[C@H]1[C@H]1CCCC[C@@H]1O
152,O=C1O[C@@H]2[C@H]3O[C@H]3[C@@H]3[C@H]1[C@H]23,COc1ccc(C[C@H]2COC(=O)/C2=C/c2ccc(OC)c(OCc3ccccc3)c2)cc1OC
153,COCc1cnc(C2=N[C@](C)(C(C)C)C(=O)N2)c(C(=O)O)c1,CC1(C)c2ccc(cc2)OP2(=O)Oc3ccc(cc3)C(C)(C)c3ccc(cc3)C(C)(C)c3ccc(cc3)OP(=O)(Oc3ccc(cc3)C(C)(C)c3ccc1cc3)Oc1ccc(cc1)C(C)(C)c1ccc(cc1)C(C)(C)c1ccc(cc1)O2
154,NC(=O)CN1C[C@H](c2ccccc2)CC1=O,Fc1c(F)c(I)c(F)c(F)c1I
155,O=C1C(c2ccccc2)=C(c2ccccc2)[C@@]2(SC(c3ccccc3)=C(c3ccccc3)C2=O)N1c1ccccc1,Oc1ccc(O)cc1
156,Cc1cc(=O)n(-c2ccccc2)[nH]1,Ic1ccc(I)cc1
157,c1ccc([C@@H]2Cc3ccc4ccccc4c3C2=C2c3ccccc3-c3ccccc32)cc1,Oc1cccc2ccccc12
158,Fc1c(F)c(F)c(I)c(F)c1F,O=C(O)CCCCCCCCC(=O)O
159,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,N#CN=C1C=CC(=C(C#N)C#N)C=C1
160,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,Nc1n[nH]c(-c2ccccc2)n1
161,O=C(Nc1cccc(Br)c1)[C@H]1CC[C@H]2C(=O)N(CC3CCCCC3)C(=O)[C@@H]12,COc1ccc(OC)cc1
162,C/C(=C\C(=O)O)C(=O)O,C1#COC#CO1
163,c1ccc2nc3ccccc3nc2c1,CCOC(=O)C[C@@]1(C)/C(=C/c2ccccc2)CCC[C@@]12OCCS2
164,CCC[C@H]1C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)N1,CN(C)c1ccncc1
165,Cc1cc(O)cc(O)c1,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
166,O=C(O)c1c(F)c(F)c(F)c(F)c1F,S=c1cc[nH]c(=S)[nH]1
167,COc1cc(C(=O)O)ccc1O,O=C(O)c1ccccc1SSc1ccccc1C(=O)O
168,O[C@@H]1[C@@H]2O[C@@H]3O[C@H]1[C@H](O)[C@@H](O3)[C@@H]2OCc1ccccc1,Oc1ccc(O)cc1
169,CO[C@@]12C=C[C@]34[C@H](C1)[C@@](C)(O)c1ccccc1N3C(=O)C(=O)N4[C@H]2c1ccccc1,Oc1ccccc1
170,O=C1CCC(O)=C1C1(C2=C(O)CCC2=O)C(=O)Nc2ccc(F)cc21,COc1cc2c3c([nH]c2cc1Br)[C@@H](NC(=O)OCc1ccccc1)C=C[C@@H](C)[C@H]3c1ccccc1
171,N#C[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccccc5c4CCN(C2)[C@@H]13,CC(=O)Nc1nnc(S(N)(=O)=O)s1
172,Cc1ccn(C)c(=O)c1,C[Si](C)(C)C1=C2CCCC[C@H]2[C@](C#N)(C(=O)Nc2ccccc2)/C1=N\C(=O)Nc1ccccc1
173,C[C@H](c1ccccc1)N1C[C@@H]2[C@@H](c3ccccc3)CC(=O)C[C@@]23CC(=O)C[C@@H](c2ccccc2)[C@H]3C1,O=C1C(F)=C(F)C(=O)C(F)=C1F
174,C[C@H](O)Cc1ccccc1-c1nc2ccccc2[nH]1,COC(=O)C1(N=[S@@](=O)(OC)c2ccc(C)cc2)c2ccccc2C=Cc2ccccc21
175,c1cc(SSc2ccncc2)ccn1,ClC(Cl)(Cl)[C@@H]1O[C@@H](C(Cl)(Cl)Cl)SC(Cl)(C(Cl)(Cl)Cl)S1
176,Brc1cc(Br)c(Br)cc1Br,COc1ccc2c(c1)N[C@]13CCCCC14CCCC[C@]24Nc1cc(OC)ccc13
177,Oc1cc2ccccc2cc1O,O=C(O)/C=C/C(=O)O
178,O=C1CCCCCCC1,CC(=O)Nc1nnc(S(N)(=O)=O)s1
179,CC(C)(O)C[C@@]1(O)[C@H]2[C@H]3[C@@H]4C[C@H]5[C@H]([C@@H](O)[C@@H]2[C@@H]35)[C@@H]41,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
180,CCCCC1=C[P@](=O)(O)Oc2ccccc21,COc1ccc(N2C3=C(C(=O)OC3=O)N(Cc3ccccc3)c3ccc(OC)cc3[C@@H]2c2ccccc2)cc1
181,C1CN2CN3CCN(CN1C3)C2,c1ccc2c(c1)SC(=C1Sc3ccccc3S1)S2
182,COc1ccc2ccc(O)c(/C(=N\c3ccccc3)c3ccc(Cl)cc3)c2c1,O=C(O)c1cccc(O)c1
183,C(#Cc1ccncc1)c1ccncc1,O=C(O)CCCCC(=O)O
184,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,O=C(O)CCCC(=O)O
185,O=c1[nH]cc(F)c(=O)[nH]1,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
