id,coformer1,coformer2,maccs_bit_1,maccs_bit_2,maccs_bit_3,maccs_bit_4,maccs_bit_5,maccs_bit_6,maccs_bit_7,maccs_bit_8,maccs_bit_9,maccs_bit_10,maccs_bit_11,maccs_bit_12,maccs_bit_13,maccs_bit_14,maccs_bit_15,maccs_bit_16,maccs_bit_17,maccs_bit_18,maccs_bit_19,maccs_bit_20,maccs_bit_21,maccs_bit_22,maccs_bit_23,maccs_bit_24,maccs_bit_25,maccs_bit_26,maccs_bit_27,maccs_bit_28,maccs_bit_29,maccs_bit_30,maccs_bit_31,maccs_bit_32,maccs_bit_33,maccs_bit_34,maccs_bit_35,maccs_bit_36,maccs_bit_37,maccs_bit_38,maccs_bit_39,maccs_bit_40,maccs_bit_41,maccs_bit_42,maccs_bit_43,maccs_bit_44,maccs_bit_45,maccs_bit_46,maccs_bit_47,maccs_bit_48,maccs_bit_49,maccs_bit_50,maccs_bit_51,maccs_bit_52,maccs_bit_53,maccs_bit_54,maccs_bit_55,maccs_bit_56,maccs_bit_57,maccs_bit_58,maccs_bit_59,maccs_bit_60,maccs_bit_61,maccs_bit_62,maccs_bit_63,maccs_bit_64,maccs_bit_65,maccs_bit_66,maccs_bit_67,maccs_bit_68,maccs_bit_69,maccs_bit_70,maccs_bit_71,maccs_bit_72,maccs_bit_73,maccs_bit_74,maccs_bit_75,maccs_bit_76,maccs_bit_77,maccs_bit_78,maccs_bit_79,maccs_bit_80,maccs_bit_81,maccs_bit_82,maccs_bit_83,maccs_bit_84,maccs_bit_85,maccs_bit_86,maccs_bit_87,maccs_bit_88,maccs_bit_89,maccs_bit_90,maccs_bit_91,maccs_bit_92,maccs_bit_93,maccs_bit_94,maccs_bit_95,maccs_bit_96,maccs_bit_97,maccs_bit_98,maccs_bit_99,maccs_bit_100,maccs_bit_101,maccs_bit_102,maccs_bit_103,maccs_bit_104,maccs_bit_105,maccs_bit_106,maccs_bit_107,maccs_bit_108,maccs_bit_109,maccs_bit_110,maccs_bit_111,maccs_bit_112,maccs_bit_113,maccs_bit_114,maccs_bit_115,maccs_bit_116,maccs_bit_117,maccs_bit_118,maccs_bit_119,maccs_bit_120,maccs_bit_121,maccs_bit_122,maccs_bit_123,maccs_bit_124,maccs_bit_125,maccs_bit_126,maccs_bit_127,maccs_bit_128,maccs_bit_129,maccs_bit_130,maccs_bit_131,maccs_bit_132,maccs_bit_133,maccs_bit_134,maccs_bit_135,maccs_bit_136,maccs_bit_137,maccs_bit_138,maccs_bit_139,maccs_bit_140,maccs_bit_141,maccs_bit_142,maccs_bit_143,maccs_bit_144,maccs_bit_145,maccs_bit_146,maccs_bit_147,maccs_bit_148,maccs_bit_149,maccs_bit_150,maccs_bit_151,maccs_bit_152,maccs_bit_153,maccs_bit_154,maccs_bit_155,maccs_bit_156,maccs_bit_157,maccs_bit_158,maccs_bit_159,maccs_bit_160,maccs_bit_161,maccs_bit_162,maccs_bit_163,maccs_bit_164,maccs_bit_165,maccs_bit_166,maccs_bit_167,form
negative_11,O=C(O)CCCCCCCCC(=O)O,NS(=O)(=O)c1ccc(CC/N=C/c2ccccc2O)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,1,1,1,0,1,1,1,1,2,1,0,0,0,2,0,0,2,1,0,1,1,1,1,2,2,1,0,1,1,1,1,1,2,1,2,1,2,0,1,1,1,2,1,0,0
negative_12,Fc1c(F)c(I)c(F)c(F)c1I,O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0
negative_13,N#C[C@H]1c2ccccc2CN2CCc3ccccc3[C@@H]12,O=C1O[C@@](Cc2ccccc2)(C23CC4CC(CC(C4)C2)C3)Cc2ccccc21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,1,1,2,0,0,1,0,0,0,0,2,1,0,0,0,1,1,2,2,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,2,2,1,2,0,0
negative_14,COc1cccc2c1[C@@H]1CC[C@H]3CO[C@]1(CC2)[C@@H]3CO,O=C1CCC(C2CCC(=O)CC2)CC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,2,0,0,2,0,0,0,1,1,1,1,0,0,0,2,1,2,1,2,0,0,0,0,2,1,1,1,0,1,0,2,1,0,1,2,2,2,0,0
negative_15,Cc1ccc(-c2nc(N)nc(N)n2)cc1,CCc1cccc2c1N(C)[C@H]1ON3C(=O)OCC[C@@]34c3cccc(CC)c3N(C)[C@H]4ON3C(=O)OCC[C@]213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,2,0,0,1,1,0,0,1,2,0,1,1,1,1,1,0,1,0,0,1,1,0,2,2,1,1,1,2,0,1,0,0,1,1,1,1,0,2,1,2,1,0,1,1,2,1,1,2,1,1,1,1,0,1,0,1,1,1,2,1,2,1,2,2,2,2,1,2,0,0
negative_16,Oc1cc(O)c(Br)cc1Br,O=C(O)C/C=C/CC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0,1,0,1,0,0,2,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,2,0,2,0,0,1,1,2,1,0,0
negative_17,Nn1c(-c2ccccn2)nnc1-c1ccccn1,CCC[C@H](Cc1ccc(C)cc1)O/N=C(\C)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,2,2,1,0,0,1,1,0,1,2,1,2,0,1,0,0,0,1,2,0,1,2,0,1,1,1,1,2,1,0,1,1,2,1,1,1,1,2,2,2,1,2,0,0
negative_18,O=c1oc(=O)c2c1c1c(=O)oc(=O)c1c1c(=O)oc(=O)c21,C1CC[C@H]2OCCOCCO[C@@H]3CCCC[C@@H]3OCCOCCO[C@H]2C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,2,1,0,2,0,0,1,0,1,2,1,0,0,0,0,1,1,1,0,0,1,0,2,0,0,1,2,2,2,0,0
negative_19,c1ccc([C@]23OC[C@H](CO[C@]24CCCCO4)O3)cc1,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,2,1,2,0,0
negative_20,Oc1ccc(Cl)cc1,COC(=O)[C@H]1ON2O[C@H](C=C(C)C)[C@@]34CCCC[C@@H]3[C@@H]2[C@@H]1CC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,2,0,1,0,1,2,1,1,1,1,1,2,2,2,0,0
negative_21,N#CC[C@@H]1N(c2ccccc2)C(c2ccccc2)=NN1C12CC3CC(CC(C3)C1)C2,NC(=O)c1ccc(Br)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,2,0,2,0,0,2,2,2,1,2,0,0
negative_22,O=C(O)c1ccccc1/N=N/c1ccc(O)cc1,CC1(C)O[C@H]2[C@@H]3C=CC[C@@H](O3)[C@H]2O1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,2,0,0,1,1,0,2,0,1,0,1,2,1,2,1,1,1,2,2,2,0,0
negative_23,NC(=O)c1ccc(Br)cc1,CC(C)=NNC(=O)c1ccncc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,2,0,2,0,1,2,2,2,2,2,0,0
negative_24,NC(=O)c1cnccn1,Cc1nc(C)c(Cl)c(N)n1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,2,0,1,0,0,0,0,1,1,2,0,0,1,0,2,0,2,0,1,2,2,2,1,2,0,0
negative_25,Cc1nc(C)c(Cl)c(N)n1,C=CCOC(=O)C1=C(Nc2ccccc2)C[C@H](c2ccccc2)N(c2ccccc2)[C@H]1c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,2,1,2,0,2,0,0,0,0,2,0,1,1,0,0,1,1,2,2,0,1,1,1,2,1,2,1,1,2,2,2,1,2,0,0
negative_26,O=C(OC[C@]12OO[C@](c3ccccc3)(OC[C@@]13CO3)O2)c1ccccc1,O=C1NCc2ccc(cc2)CNC(=O)c2cccc(c2)C(=O)NCc2ccc(cc2)CNC(=O)c2cccc1c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2,1,0,1,1,2,1,1,1,1,0,1,1,0,0,0,1,2,2,0,2,0,1,1,0,2,2,0,0,0,0,1,1,2,2,1,1,1,1,2,0,1,2,2,2,2,0,0
